iter	Passed	Remaining
653	1214	642
654	1216	640
655	1217	638
656	1218	636
657	1219	634
658	1221	631
659	1222	629
660	1224	627
661	1225	625
662	1228	624
663	1229	622
664	1230	620
665	1232	617
666	1233	615
667	1234	613
668	1236	611
669	1237	609
670	1238	607
671	1240	605
672	1241	603
673	1243	601
674	1244	599
675	1246	597
676	1247	595
677	1249	593
678	1250	591
679	1251	588
680	1252	586
681	1254	584
682	1255	582
683	1256	580
684	1260	579
685	1261	577
686	1263	575
687	1264	573
688	1266	571
689	1267	569
690	1269	567
691	1270	565
692	1271	563
693	1274	561
694	1275	559
695	1277	558
696	1279	556
697	1280	554
698	1281	551
699	1283	549
700	1284	547
701	1285	545
702	1287	543
703	1289	542
704	1291	540
705	1292	538
706	1293	536
707	1294	534
708	1296	532
709	1297	529
710	1298	527
711	1300	525
712	1302	524
713	1303	522
714	1306	520
715	1308	518
716	1309	516
717	1311	514
718	1312	512
719	1313	510
720	1315	508
721	1316	506
722	1317	504
723	1320	503
724	1322	501
725	1323	499
726	1325	497
727	1326	495
728	1328	493
729	1329	491
730	1330	489
731	1332	487
732	1333	485
733	1337	484
734	1338	482
735	1339	480
736	1341	478
737	1342	476
738	1343	474
739	1347	473
740	1348	471
741	1350	469
742	1351	467
743	1352	465
744	1354	463
745	1355	461
746	1356	459
747	1358	457
748	1359	455
749	1360	453
750	1362	451
751	1365	450
752	1366	448
753	1367	446
754	1369	444
755	1370	442
756	1371	440
757	1373	438
758	1374	436
759	1375	434
760	1377	432
761	1380	431
762	1381	429
763	1383	427
764	1384	425
765	1385	423
766	1387	421
767	1388	419
768	1390	417
769	1391	415
770	1392	413
771	1395	412
772	1397	410
773	1399	408
774	1400	406
775	1402	404
776	1403	402
777	1404	400
778	1405	398
779	1407	396
780	1408	395
781	1412	393
782	1414	391
783	1415	389
784	1416	388
785	1418	386
786	1419	384
787	1420	382
788	1421	380
789	1423	378
790	1426	376
791	1427	374
792	1429	373
793	1430	371
794	1431	369
795	1433	367
796	1434	365
797	1436	363
798	1437	361
799	1438	359
800	1442	358
801	1444	356
802	1445	354
803	1446	352
804	1448	350
805	1449	348
806	1450	346
807	1451	344
808	1453	343
809	1454	341
810	1458	339
811	1459	337
812	1461	336
813	1462	334
814	1463	332
815	1464	330
816	1466	328
817	1467	326
818	1468	324
819	1470	322
820	1472	321
821	1473	319
822	1475	317
823	1476	315
824	1478	313
825	1479	311
826	1480	309
827	1482	307
828	1483	306
829	1487	304
830	1488	302
831	1490	300
832	1491	299
833	1493	297
834	1494	295
835	1495	293
836	1497	291
837	1498	289
838	1499	287
839	1502	286
840	1504	284
841	1505	282
842	1506	280
843	1507	278
844	1509	276
845	1510	274
846	1511	273
847	1513	271
848	1514	269
849	1518	268
850	1520	266
851	1521	264
852	1522	262
853	1523	260
854	1525	258
855	1526	256
856	1528	254
857	1529	253
858	1530	251
859	1533	249
860	1535	247
861	1537	246
862	1538	244
863	1539	242
864	1541	240
865	1542	238
866	1543	236
867	1545	234
868	1549	233
869	1550	231
870	1552	229
871	1553	228
872	1554	226
873	1555	224
874	1557	222
875	1558	220
876	1559	218
877	1561	216
878	1563	215
879	1565	213
880	1566	211
881	1567	209
882	1569	207
883	1570	206
884	1571	204
885	1572	202
886	1574	200
887	1575	198
888	1576	196
889	1581	195
890	1582	193
891	1583	191
892	1584	189
893	1586	188
894	1587	186
895	1588	184
896	1590	182
897	1591	180
898	1594	179
899	1596	177
900	1597	175
901	1599	173
902	1600	171
903	1602	170
904	1603	168
905	1604	166
906	1605	164
907	1607	162
908	1611	161
909	1612	159
910	1614	157
911	1615	155
912	1616	154
913	1618	152
914	1619	150
915	1620	148
916	1622	146
917	1625	145
918	1627	143
919	1628	141
920	1629	139
921	1631	138
922	1632	136
923	1633	134
924	1635	132
925	1636	130
926	1638	128
927	1641	127
928	1643	125
929	1644	123
930	1645	121
931	1647	120
932	1648	118
933	1649	116
934	1653	114
935	1655	113
936	1656	111
937	1658	109
938	1659	107
939	1660	106
940	1662	104
941	1663	102
942	1664	100
943	1667	98
944	1670	97
945	1671	95
946	1672	93
947	1673	91
948	1675	90
949	1676	88
950	1677	86
951	1679	84
952	1680	82
953	1681	81
954	1684	79
955	1685	77
956	1686	75
957	1688	74
958	1689	72
959	1690	70
960	1691	68
961	1692	66
962	1694	65
963	1695	63
964	1696	61
965	1700	59
966	1702	58
967	1703	56
968	1704	54
969	1706	52
970	1707	50
971	1708	49
972	1710	47
973	1711	45
974	1714	43
975	1716	42
976	1717	40
977	1718	38
978	1720	36
979	1721	35
980	1722	33
981	1724	31
982	1725	29
983	1727	28
984	1730	26
985	1732	24
986	1733	22
987	1735	21
988	1736	19
989	1737	17
990	1739	15
991	1740	14
992	1741	12
993	1743	10
994	1745	8
995	1747	7
996	1748	5
997	1750	3
998	1751	1
999	1752	0
